Asia,Asianum,America,Americanum,Europe,Europenum,Oceania and Africa,Oceania and Africa num,,,,,,,,
Hong Kong and Macao,1733575.7,U.S.A.,396939.1,France,41125.6,Australia,100394,,,,,,,,
 Mainland China,2628287,Canada,75032.1,Germany,49311.9,New Zealand,7993.8,,,,,,,,
 Japan,2883072.3,Others,1831.7,Italy,13885.3,Palau,12996.2,,,,,,,,
Korea,588838.6,,,Netherlands,32276,S.Africa,764,,,,,,,,
 Singapore,244702.1,,,Switzerland,3661.2,Others,3670.7,,,,,,,,
Malaysia,186720,,,U.K.,19137,,,,,,,,,,
Thailand,436273.5,,,Austria,37214.1,,,,,,,,,,
 Philippines,157013.5,,,Others,22931.9,,,,,,,,,,
Indonesia,124613.5,,,,,,,,,,,,,,
Vietnam,395501.5,,,,,,,,,,,,,,
Cambodia,56750.5,,,,,,,,,,,,,,
United Arab Emirates,57128.5,,,,,,,,,,,,,,
Turkey,40417.7,,,,,,,,,,,,,,
Others,62091,,,,,,,,,,,,,,
